date,county,state,fips,cases,deaths
05/08/2020,Queens,New York,36081,57276,5149
05/08/2020,Richmond,New York,36085,12763,753
05/09/2020,New York,New York,36061,22798,2107
05/09/2020,Bronx,New York,36005,42021,3377
05/09/2020,Kings,New York,36047,50683,4913
05/09/2020,Queens,New York,36081,57532,5182
05/09/2020,Richmond,New York,36085,12795,756
05/10/2020,New York,New York,36061,22893,2127
05/10/2020,Bronx,New York,36005,42096,3390
05/10/2020,Kings,New York,36047,50871,4939
05/10/2020,Queens,New York,36081,57617,5218
05/10/2020,Richmond,New York,36085,12809,764
05/11/2020,New York,New York,36061,23086,2141
05/11/2020,Bronx,New York,36005,42323,3417
05/11/2020,Kings,New York,36047,51281,4971
05/11/2020,Queens,New York,36081,57993,5245
05/11/2020,Richmond,New York,36085,12836,767
05/12/2020,New York,New York,36061,23250,2155
05/12/2020,Bronx,New York,36005,42678,3437
05/12/2020,Kings,New York,36047,51681,5004
05/12/2020,Queens,New York,36081,58306,5263
05/12/2020,Richmond,New York,36085,12889,773
05/13/2020,New York,New York,36061,23407,2163
05/13/2020,Bronx,New York,36005,43140,3453
05/13/2020,Kings,New York,36047,52044,5027
05/13/2020,Queens,New York,36081,58613,5293
05/13/2020,Richmond,New York,36085,12936,779
05/14/2020,New York,New York,36061,23557,2179
05/14/2020,Bronx,New York,36005,43396,3464
05/14/2020,Kings,New York,36047,52376,5041
05/14/2020,Queens,New York,36081,58945,5316
05/14/2020,Richmond,New York,36085,12978,785
05/15/2020,New York,New York,36061,23693,2190
05/15/2020,Bronx,New York,36005,43578,3480
05/15/2020,Kings,New York,36047,52635,5067
05/15/2020,Queens,New York,36081,59210,5343
05/15/2020,Richmond,New York,36085,13011,791
05/16/2020,New York,New York,36061,23747,2200
05/16/2020,Bronx,New York,36005,43687,3506
05/16/2020,Kings,New York,36047,52800,5091
05/16/2020,Queens,New York,36081,59345,5364
05/16/2020,Richmond,New York,36085,13036,793
05/17/2020,New York,New York,36061,23797,2211
05/17/2020,Bronx,New York,36005,43743,3525
05/17/2020,Kings,New York,36047,52937,5110
05/17/2020,Queens,New York,36081,59451,5390
05/17/2020,Richmond,New York,36085,13046,795
05/18/2020,New York,New York,36061,23931,2220
05/18/2020,Bronx,New York,36005,43929,3535
05/18/2020,Kings,New York,36047,53205,5126
05/18/2020,Queens,New York,36081,59724,5410
